scenario,unhedged,s1_futures,s2_futures,s3_futures,s4_futures,s1_hedged,s2_hedged,s3_hedged,s4_hedged
parallel_up_100,-4232647.059876021,4560000.0,2885500.0,4560000.0,4575500.0,327352.940123979,-1347147.059876021,327352.940123979,342852.940123979
parallel_up_200,-7896135.51060872,9120000.0,5771000.0,9120000.0,9151000.0,1223864.4893912803,-2125135.5106087197,1223864.4893912803,1254864.4893912803
parallel_up_300,-11092890.14805812,13680000.0,8656500.0,13680000.0,13726500.0,2587109.85194188,-2436390.14805812,2587109.85194188,2633609.85194188
parallel_down_100,4932741.678840876,-4560000.0,-2885500.0,-4560000.0,-4575500.0,372741.6788408756,2047241.6788408756,372741.6788408756,357241.6788408756
parallel_down_200,10734063.631229453,-9120000.0,-5771000.0,-9120000.0,-9151000.0,1614063.6312294528,4963063.631229453,1614063.6312294528,1583063.6312294528
bear_steepener,-5584832.034735786,6840000.0,4200250.0,6840000.0,6659250.0,1255167.9652642142,-1384582.0347357858,1255167.9652642142,1074417.9652642142
bull_steepener,7320228.792277398,-6840000.0,-4200250.0,-6840000.0,-6659250.0,480228.7922773976,3119978.7922773976,480228.7922773976,660978.7922773976
bear_flattener,-2191937.3876844803,2280000.0,1570750.0000000002,2280000.0,2491750.0000000005,88062.61231551971,-621187.38768448,88062.61231551971,299812.6123155202
bull_flattener,2351662.0507772807,-2280000.0,-1570750.0,-2280000.0,-2491750.0,71662.0507772807,780912.0507772807,71662.0507772807,-140087.9492227193
inversion,-223975.58715517307,0.0,256000.0,0.0,408000.0,-223975.58715517307,32024.412844826933,-223975.58715517307,184024.41284482693
hump,-1233927.9114347384,0.0,944250.0000000002,0.0,1491750.0000000005,-1233927.9114347384,-289677.9114347382,-1233927.9114347384,257822.08856526203
taper_tantrum_2013,-4802558.007103273,6019200.000000001,3352840.0,6019200.000000001,5313930.0,1216641.9928967282,-1449718.0071032727,1216641.9928967282,511371.9928967273
covid_shock_2020,4895402.202134047,-4651200.0,-2910664.999999999,-4651200.0,-4615754.999999999,244202.2021340467,1984737.2021340476,244202.2021340467,279647.20213404763
rate_shock_2022,-9053234.376510292,10260000.0,6566890.0,10260000.0,10410390.0,1206765.6234897077,-2486344.3765102923,1206765.6234897077,1357155.6234897077
fed_hike_25bps,4577.22368338774,0.0,0.0,0.0,0.0,4577.22368338774,4577.22368338774,4577.22368338774,4577.22368338774
fed_hike_50bps,9241.880502965301,0.0,0.0,0.0,0.0,9241.880502965301,9241.880502965301,9241.880502965301,9241.880502965301
fed_hike_75bps,13995.023644707864,0.0,0.0,0.0,0.0,13995.023644707864,13995.023644707864,13995.023644707864,13995.023644707864
fed_cut_25bps,-4490.019831721438,0.0,0.0,0.0,0.0,-4490.019831721438,-4490.019831721438,-4490.019831721438,-4490.019831721438
fed_cut_50bps,-8892.54494472756,0.0,0.0,0.0,0.0,-8892.54494472756,-8892.54494472756,-8892.54494472756,-8892.54494472756
stagflation,-7085714.532868234,9120000.0,5328250.0,9120000.0,8449750.0,2034285.4671317656,-1757464.5328682344,2034285.4671317656,1364035.4671317656
flight_to_quality,4239131.85380033,-4560000.0,-2506750.0,-4560000.0,-3976250.0,-320868.1461996697,1732381.8538003303,-320868.1461996697,262881.8538003303
