scenario,1mo,3mo,6mo,1yr,2yr,3yr,5yr,7yr,10yr,20yr,30yr
parallel_up_100,100.00000000000004,100.00000000000004,100.0,100.00000000000004,100.0,100.0,100.00000000000004,100.0,100.0,100.0,100.0
parallel_up_200,200.00000000000009,200.00000000000009,200.0,200.00000000000009,200.0,200.0,200.00000000000009,200.0,200.0,200.0,200.0
parallel_up_300,300.00000000000006,300.00000000000006,300.0,300.00000000000006,300.0,300.0,300.00000000000006,300.0,300.0,300.0,300.0
parallel_down_100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
parallel_down_200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0
bear_steepener,50.00000000000004,50.00000000000004,50.0,50.00000000000004,50.0,0.0,150.00000000000006,150.0,150.0,150.0,150.0
bull_steepener,-50.0,-50.0,-50.0,-50.0,-50.0,0.0,-150.0,-150.0,-150.0,-150.0,-150.0
bear_flattener,150.00000000000006,150.00000000000006,150.0,150.00000000000006,150.0,0.0,50.00000000000004,50.0,50.0,50.0,50.0
bull_flattener,-150.0,-150.0,-150.0,-150.0,-150.0,0.0,-50.0,-50.0,-50.0,-50.0,-50.0
inversion,200.00000000000009,200.00000000000009,200.0,200.00000000000009,200.0,0.0,0.0,0.0,0.0,0.0,0.0
hump,0.0,0.0,0.0,0.0,150.0,150.0,150.00000000000006,0.0,0.0,0.0,0.0
taper_tantrum_2013,0.0,-4.000000000000004,-2.0000000000000018,4.999999999999982,32.00000000000003,67.0,119.99999999999996,138.0,132.00000000000003,120.0,105.0
covid_shock_2020,-104.0,-125.0,-129.0,-115.99999999999996,-104.0,-98.99999999999996,-94.99999999999996,-94.0,-102.0,-99.00000000000004,-101.99999999999996
rate_shock_2022,407.0,434.0,454.0000000000001,433.0,363.0,318.0,261.99999999999994,241.0,225.0,209.0,196.0
mc_p5,-193.4738189505544,-194.97473738967105,-198.0354807152057,-198.03923852646267,-206.36305701775512,-197.04178086993295,-169.6042126950963,-153.1227106478974,-136.96249774572254,-147.62678272431415,-134.54377077029088
mc_p25,-118.10918357956398,-119.71495247978594,-123.21445731956813,-121.46308032630522,-125.61092575562547,-115.84981965898046,-92.88505808834682,-82.41880865574865,-69.63017323573375,-83.4526155412,-69.71334926563193
mc_p50,-64.15630205185514,-65.87368232860756,-69.63156862120705,-67.85821690156114,-70.70845228427838,-59.63760781573741,-38.78104117416133,-31.069201012073044,-21.77128149903158,-37.47279530952463,-23.590565822846177
mc_p75,-12.084187371468367,-13.60672290300351,-16.63662522412053,-13.47856899564257,-13.930184798034473,-3.047436784288804,13.546779979033596,19.134350926657007,26.35354118476432,8.667660546221079,23.44249638292304
mc_p95,64.22357253810564,62.13121004792632,59.40165528144572,63.89921610341438,66.67657898584594,76.76886786145252,90.2074403622073,91.9130579265028,95.42981774572912,76.60890809776531,91.0260508771266
fed_hike_25bps,25.0,25.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fed_hike_50bps,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fed_hike_75bps,75.0,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fed_cut_25bps,-25.0,-25.0,-25.0,-25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fed_cut_50bps,-50.0,-50.0,-50.0,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stagflation,0.0,0.0,0.0,0.0,50.0,100.0,150.0,175.0,200.0,200.0,200.0
flight_to_quality,50.0,50.0,50.0,25.0,0.0,-25.0,-50.0,-75.0,-100.0,-100.0,-100.0
