scenario,1mo,3mo,6mo,1yr,2yr,3yr,5yr,7yr,10yr,20yr,30yr
parallel_up_100,4.720000000000001,4.720000000000001,4.74,4.720000000000001,4.84,4.88,4.98,5.16,5.34,5.89,5.89
parallel_up_200,5.720000000000001,5.720000000000001,5.74,5.720000000000001,5.84,5.88,5.98,6.16,6.34,6.89,6.89
parallel_up_300,6.720000000000001,6.720000000000001,6.74,6.720000000000001,6.84,6.88,6.98,7.16,7.34,7.89,7.89
parallel_down_100,2.72,2.72,2.74,2.72,2.84,2.88,2.98,3.16,3.34,3.89,3.89
parallel_down_200,1.7200000000000002,1.7200000000000002,1.7400000000000002,1.7200000000000002,1.84,1.88,1.98,2.16,2.34,2.89,2.89
bear_steepener,4.220000000000001,4.220000000000001,4.24,4.220000000000001,4.34,3.88,5.48,5.66,5.84,6.39,6.39
bull_steepener,3.22,3.22,3.24,3.22,3.34,3.88,2.48,2.66,2.84,3.39,3.39
bear_flattener,5.220000000000001,5.220000000000001,5.24,5.220000000000001,5.34,3.88,4.48,4.66,4.84,5.39,5.39
bull_flattener,2.22,2.22,2.24,2.22,2.34,3.88,3.48,3.66,3.84,4.39,4.39
inversion,5.720000000000001,5.720000000000001,5.74,5.720000000000001,5.84,3.88,3.98,4.16,4.34,4.89,4.89
hump,3.72,3.72,3.74,3.72,5.34,5.38,5.48,4.16,4.34,4.89,4.89
taper_tantrum_2013,3.72,3.68,3.72,3.77,4.16,4.55,5.18,5.54,5.66,6.09,5.94
covid_shock_2020,2.68,2.47,2.45,2.5600000000000005,2.8,2.89,3.03,3.22,3.32,3.9,3.87
rate_shock_2022,7.790000000000001,8.06,8.280000000000001,8.05,7.47,7.06,6.6,6.57,6.59,6.98,6.85
mc_p5,1.7852618104944562,1.7702526261032898,1.7596451928479429,1.7396076147353734,1.7763694298224484,1.90958219130067,2.283957873049037,2.628772893521026,2.9703750225427745,3.413732172756858,3.544562292297091
mc_p25,2.5389081642043605,2.522850475202141,2.507855426804319,2.505369196736948,2.583890742443745,2.721501803410195,3.051149419116532,3.3358119134425137,3.6436982676426624,4.055473844588,4.19286650734368
mc_p50,3.078436979481449,3.0612631767139247,3.0436843137879297,3.041417830984389,3.132915477157216,3.2836239218426257,3.5921895882583867,3.8493079898792697,4.122287185009684,4.515272046904753,4.654094341771538
mc_p75,3.5991581262853165,3.583932770969965,3.573633747758795,3.5852143100435745,3.700698152019655,3.849525632157112,4.115467799790336,4.35134350926657,4.603535411847643,4.9766766054622105,5.12442496382923
mc_p95,4.362235725381057,4.341312100479263,4.334016552814457,4.358992161034144,4.506765789858459,4.647688678614525,4.882074403622073,5.079130579265028,5.294298177457291,5.656089080977653,5.800260508771266
fed_hike_25bps,3.97,3.97,3.99,3.97,3.84,3.88,3.98,4.16,4.34,4.89,4.89
fed_hike_50bps,4.220000000000001,4.220000000000001,4.24,4.220000000000001,3.84,3.88,3.98,4.16,4.34,4.89,4.89
fed_hike_75bps,4.470000000000001,4.470000000000001,4.49,4.470000000000001,3.84,3.88,3.98,4.16,4.34,4.89,4.89
fed_cut_25bps,3.47,3.47,3.49,3.47,3.84,3.88,3.98,4.16,4.34,4.89,4.89
fed_cut_50bps,3.22,3.22,3.24,3.22,3.84,3.88,3.98,4.16,4.34,4.89,4.89
stagflation,3.72,3.72,3.74,3.72,4.34,4.88,5.48,5.91,6.34,6.89,6.89
flight_to_quality,4.220000000000001,4.220000000000001,4.24,3.97,3.84,3.63,3.48,3.41,3.34,3.8899999999999997,3.8899999999999997
